artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
kenny wayne shepherd,born with a broken heart,1995,blues,ash flame keep gettin stronger like slow train watch good young burnin like shootin bear break heart distance callin take ride slow train run good young playin guitar bear break heart burnin like shootin bear break heart begin kill bullet sixstring bang drum good young ridin long black bear break heart playin guitar bear break heart burnin like shootin bear break heart,62,0.0010741138562279,0.0395030410629846,0.0010741138713337,0.001074114000331,0.0010741138560923,0.0010741138677248,0.0010741138751661,0.0010741138655325,0.1135224008328886,0.0706765639287377,0.0010741139078471,0.0010741139235871,0.1951520673423813,0.0357565325329499,0.3238068531518993,0.0623620482397739,0.2851727499187697,0.6671538086813834,4.196791362240323e-05,0.0944331983805668,0.8248145094806266,0.8288234827754379,sadness,0.3571428571428571
count basic,on the move,1996,jazz,live lnlywifi want respect know bout check know bout bring badder gotta upgrade yeah yeah listen thing workin fast think thing long pretty women preppin drug songs fake break ting basic count blue bill blue face turn girl shake hype make like type movin like kite andale andale baby crib live doin workin tryna kick bottle business camp room mistake takin risk crazy cause girls care ones miss couple shots brain mind thinkin bout body chill runnin spine tell vicious crime fuck ting kick wine dollar sign daily plan takin deal takin xans want grammy live room warn cause comin soon quick whow squillo gotta wave goat shit yeah judgements matter pocket fatter yeah movin saturn peepin pattern wifi guy know syke burn lie want respect respect know bout check bout know bout bout neck badder upgrade grade listen word workin think thing long pretty women preppin drug songs songs think thing long,153,0.0118477519341055,0.0005109862347149,0.0426964450792773,0.0005109862626723,0.0420816133542362,0.0005109862175015,0.0005109862142458,0.1740300300962879,0.4696364286661399,0.1059242955108878,0.0214482323337727,0.0143617769690655,0.0005109862375691,0.0648984539948507,0.0005109862214092,0.000510986226517,0.6739954510993178,0.6235417788375253,0.6194775295959133,0.8451417004048583,0.8516075845012365,0.5585447713682348,obscene,0.3428571428571428
steel pulse,dub marcus say,1982,reggae,pulse music songs write hinds house write phonso songs publish pulse music produce pitterson productions engineer thompson nielson lauritsen musik makers stepper mcqueen bass grizzly nesbitt drum selwyn bumbo keyboards vocals phonso guitar vocals hinds guitar vocals gabbidon lead guitar,40,0.0040485829959521,0.0928903146872556,0.0040485833750163,0.0040485829959521,0.0040485829959521,0.0040485830011529,0.004048583106669,0.0040485830513918,0.0040485831297104,0.7054588719960971,0.0596644196233158,0.004048583245037,0.0040485829959521,0.0040485829959521,0.0040485830320267,0.0040485829959521,0.71515217155854,0.6504371458605748,0.0007580328895912,0.77834008097166,0.7341302555647155,0.5715581908063595,music,0.5428571428571428
bruce cockburn,pacing the cage,1996,country,sunset weep hold bloody sword matter squint point feel like live long days drip slowly catch pace cage prove time magnetic strip wear time take hours chatter high place stir eddy dust rage pace cage know want give pillage spell sing thing write constitution sooner later wind pace cage best guide round bend road lead dark place darkness friend today eye scan bleachedout land come outbound stage pace cage pace cage,71,0.0012836970899305,0.0012836971178381,0.3253092398204603,0.0012836972015826,0.0012836970500219,0.0012836970632798,0.0012836972492975,0.0861834316834556,0.0012836971010045,0.0584597519002931,0.2299820747213831,0.2594967367977775,0.0012836971437492,0.0012836971509056,0.0012836971221853,0.001283697294393,0.552691432903715,0.5403686895879803,0.8554215415878932,0.0016194331983805,0.1941467436108821,0.2141896723901687,world/life,0.3428571428571428
nat king cole,pretend,1954,jazz,pretend blue hard happiness pretend remember dream little things pretend share close eye sing pretend like world friend pretend,19,0.002631578947473,0.0026315790065448,0.3138381297211196,0.0026315789710946,0.0026315789473686,0.0673862282131119,0.0026315791411068,0.2939310883152928,0.0026315790644922,0.1126366820191988,0.0026315789906094,0.0026315791940455,0.0026315789588659,0.0026315794981336,0.1753657650569833,0.0026315789616896,0.3339109715152172,0.6261569622849523,0.9307228220108656,0.0,0.2930750206100577,0.2752526405229072,world/life,0.9428571428571428
waylon jennings,just for you,1966,country,think think wonder dear wait spite things say fool wait dream dream make difference wait live moment make difference wait live moment,22,0.0026315789543744,0.0026315789704185,0.40919508442641,0.2010648798811413,0.0026315789526974,0.0026315789588867,0.0755307367272618,0.2747356140714952,0.0026315789726191,0.0026315789872907,0.0026315789996458,0.0026315790270006,0.0026315789511702,0.0026315790960601,0.002631579073362,0.0026315789623156,0.6913245965558323,0.6434889623875086,0.8644576952386499,0.0,0.6599340478153338,0.5535396100458791,world/life,0.7714285714285715
nina simone,if you pray right (heaven belongs to you),1987,blues,right heaven belong right heaven belong right heaven belong heaven belong sing right heaven belong sing right heaven belong sing right heaven belong heaven belong right heaven belong right heaven belong right heaven belong heaven belong right heaven belong right heaven belong right heaven belong heaven belong sing right heaven belong play right heaven belong play right heaven belong heaven belong right heaven belong right heaven belong right heaven belong heaven belong sing right heaven belong sing right heaven belong sing right heaven belong heaven belong play right heaven belong play right heaven belong play right heaven belong heaven belong,100,0.0005211047442314,0.0005211047461208,0.0005211047465776,0.238176360242428,0.0005211047471856,0.000521104746528,0.0005211047545014,0.0005211047484216,0.0005211047462399,0.4357973778495742,0.0005211047438218,0.3176885859526887,0.0005211047664743,0.000521104743869,0.0005211047526257,0.0005211047420786,0.7508935340626016,0.4654000974284029,0.8082327391894973,0.0003157894736842,0.975267930750206,0.3042825761925697,music,0.4714285714285714
brenda lee,jingle bell rock,1964,pop,jingle jingle jingle jingle bell swing jingle bell ring snow blow bushel jingle begin jingle jingle jingle jingle bell chime jingle time dance prance jingle square frosty bright time right time night away jingle time swell time glide onehorse sleigh giddy jingle horse pick feet jingle clock mingle jingle beat jingle bright time right time night away jingle time swell time glide onehorse sleigh giddy jingle horse pick feet jingle clock mingle jingle beat jingle jingle jingle,77,0.0015479876176554,0.0015479876547961,0.0015479876462645,0.44055740175068,0.001547987620995,0.001547987621409,0.0015479876176138,0.0015479876271147,0.0015479876538344,0.0808715733467737,0.209735194245445,0.1781249159043282,0.0015479876275811,0.0015479876230053,0.0015479878673361,0.0015479876189432,0.676161594281382,0.6680511755505986,0.675702485645066,0.0,0.8268755152514426,0.3943754799949707,night/time,0.8
vern gosdin,i wonder where we'd be tonight,1983,country,time sure passin slow lord half past time tonight cross mind help wonder final fight hadn give wonder tonight pickin phone cause afraid answer stand think world bright girl wonder tonight believe inside heart lovin arm right hangin wonder tonight mind wonder tonight,43,0.0295229751155332,0.0013495277530481,0.1227813736578929,0.3591452075254108,0.0013495276710117,0.0436032174932827,0.0013495279126576,0.2401653527483455,0.0013495276970321,0.0013495276767293,0.0013495277296962,0.0352981453359878,0.0013495276823352,0.0286571287872714,0.1259817944436676,0.0013495276739154,0.5310300010830717,0.4975771094531189,0.1757019836365297,0.0002591093117408,0.1560181368507831,0.2221979305059377,night/time,0.5285714285714286
midland,lonely for you only,2017,country,go night feel envy cause thrill end like girls wanna know wake strangers cause lonely everyday deeper shade blue want heart hold cause lonely jump time hear phone ring voice line blind look window hold breath time drive cause lonely everyday deeper shade blue want heart hold cause lonely want heart hold cause lonely cause lonely,56,0.0009930486855941,0.0009930487017617,0.0403940439819317,0.0811380773332993,0.0009930486797355,0.0009930486661246,0.0978224777862694,0.0009930487339549,0.0009930487284068,0.133163946180453,0.1240794276960834,0.0009930487203335,0.0009930486608735,0.0748112446246381,0.3183298122531448,0.0009930487810229,0.5765190079064226,0.7292515960310745,0.0375492344871832,0.0016497975708502,0.4260098928277001,0.665655223666645,sadness,0.0428571428571428
